objective,epsilon,family,method,iterations,time_seconds,value,distance_to_optimum,value_calls,gradient_calls,hessian_calls,memory_units,final_epsilon
step_2d,0.01,stochastic,simulated_annealing,250,0.021558667001954746,1.0,1.4820404289318305,251,0,0,8,0.01
step_2d,0.01,stochastic,particle_swarm,180,0.26063916600105586,0.0,0.13282241090936192,3258,0,0,144,0.01
step_2d,0.01,deterministic,nelder_mead,160,0.09561516699614003,25.0,5.341348144429457,796,0,0,6,0.01
step_2d,0.01,deterministic,gradient_descent,0,5.2541996410582215e-05,32.0,5.597320787662612,5,1,0,6,0.01
step_2d,0.01,deterministic,newton_method,0,4.787500074598938e-05,32.0,5.597320787662612,5,1,0,6,0.01
step_2d,0.0001,stochastic,simulated_annealing,250,0.020506790999206714,1.0,1.482040428931608,251,0,0,8,0.0001
step_2d,0.0001,stochastic,particle_swarm,180,0.26129316599690355,0.0,0.13282241091291008,3258,0,0,144,0.0001
step_2d,0.0001,deterministic,nelder_mead,28,0.01708479200169677,25.0,5.341348144429457,136,0,0,6,0.0001
step_2d,0.0001,deterministic,gradient_descent,0,5.07910008309409e-05,32.0,5.597320787662612,5,1,0,6,0.0001
step_2d,0.0001,deterministic,newton_method,0,4.837499727727845e-05,32.0,5.597320787662612,5,1,0,6,0.0001
step_2d,1e-06,stochastic,simulated_annealing,250,0.021078249999845866,1.0,1.4820404289359523,251,0,0,8,1e-06
step_2d,1e-06,stochastic,particle_swarm,180,0.26609299999836367,0.0,0.13282241091865393,3258,0,0,144,1e-06
step_2d,1e-06,deterministic,nelder_mead,27,0.01757033399917418,25.0,5.341348144429457,134,0,0,6,1e-06
step_2d,1e-06,deterministic,gradient_descent,0,5.1707997045014054e-05,32.0,5.597320787662612,5,1,0,6,1e-06
step_2d,1e-06,deterministic,newton_method,0,4.8499998229090124e-05,32.0,5.597320787662612,5,1,0,6,1e-06
rastrigin_2d,0.01,stochastic,simulated_annealing,250,0.02305595799407456,19.899340812620352,4.448809437309268,251,0,0,8,0.01
rastrigin_2d,0.01,stochastic,particle_swarm,180,0.27738395799678983,0.0,0.0,3258,0,0,144,0.01
rastrigin_2d,0.01,deterministic,nelder_mead,64,0.029994709002494346,31.83848758492307,5.628264307878677,124,0,0,6,1478830088.1792922
rastrigin_2d,0.01,deterministic,gradient_descent,120,0.08198183299828088,17.90920248303044,4.221222879977791,1674,240,0,6,0.009999999986997018
rastrigin_2d,0.01,deterministic,newton_method,25,0.004467042002943344,48.23168476973187,5.311686526228566,526,25,25,6,0.00999999999860881
