problem,method,mae_mean,mse_mean,rmse_mean
desmos_round_sin,differential_evolution,,,
desmos_round_sin,gradient_descent,,,
desmos_round_sin,nelder_mead,,,
desmos_round_sin,simulated_annealing,,,
himmelblau,differential_evolution,0.0004805735905872883,3.127230351979844e-07,0.0005592164475388616
himmelblau,gradient_descent,3.054464555314281e-19,9.329753719671268e-38,3.0544645553142814e-19
himmelblau,nelder_mead,1.7822972708188259e-09,3.1765835615682352e-18,1.7822972708188259e-09
himmelblau,simulated_annealing,0.08626406123878716,0.012079986487269058,0.10990899183992661
matyas,differential_evolution,0.0005699190428340087,4.024129969984815e-07,0.0006343603053458512
matyas,gradient_descent,4.2977861566318217e-17,1.847096584813613e-33,4.297786156631823e-17
matyas,nelder_mead,8.339891592885567e-10,6.955379178108335e-19,8.339891592885568e-10
matyas,simulated_annealing,0.0005598630719529197,5.779859129706546e-07,0.0007602538477184148
rastrigin,differential_evolution,0.10696820138314041,0.09767332139987167,0.3125273130461907
rastrigin,gradient_descent,17.909202482974017,320.73953357616267,17.909202482974013
rastrigin,nelder_mead,17.909202488085754,320.739533759257,17.909202488085754
rastrigin,simulated_annealing,0.5752093441448626,0.5026393359597673,0.7089706171342839
