function,method,f_best,iterations,func_calls,time_sec,memory_peak_bytes
Sphere function (2 variables),RandomSearch,0.005487448909828434,3000,3001,3.0128142599996863,928008
Sphere function (2 variables),SimulatedAnnealing,1.618731817672299e-05,3000,3001,2.714535950000027,834268
Rosenbrock function (2 variables),RandomSearch,0.05650670984448107,3000,3001,2.6778030400000716,709204
Rosenbrock function (2 variables),SimulatedAnnealing,0.002509467354780963,3000,3001,3.2126534959998025,817260
Rastrigin function (2 variables),RandomSearch,1.063856586657868,3000,3001,4.8893906940002125,709732
Rastrigin function (2 variables),SimulatedAnnealing,3.9967172053657585,3000,3001,4.229959140000119,811256
Ackley function,RandomSearch,0.3504701713597207,3000,3001,1.6450301690001652,710404
Ackley function,SimulatedAnnealing,0.02570379465315753,3000,3001,2.254923381000026,812500
Himmelblau function,RandomSearch,0.004560505113682703,3000,3001,4.041348172999733,704628
Himmelblau function,SimulatedAnnealing,0.0014523185411203284,3000,3001,3.357274576999771,815876
Desmos discontinuous function,RandomSearch,0.5443520074423668,3000,3001,1.6392582540001968,705772
Desmos discontinuous function,SimulatedAnnealing,0.3277579434918795,3000,3001,2.1686431200000698,808548
