function,method,best_x,best_y,best_value,known_optimum_value,abs_value_error,distance_to_known_optimum,function_calls,elapsed_sec,memory_bytes
Rastrigin,SimulatedAnnealing,0.01066814178707148,0.016249310754449613,0.07490865311498851,0.0,0.07490865311498851,0.01943834738818433,901,0.031759600000441424,14432
Rastrigin,ParticleSwarm,-4.209795989436153e-10,9.702276666305429e-10,0.0,0.0,0.0,1.0576225923372076e-09,10440,0.19570310000017344,6416
Ackley,SimulatedAnnealing,0.018346828635023273,-0.0025189284493403966,0.06148623921366436,0.0,0.06148623921366436,0.01851893953486015,901,0.02489900000000489,14432
Ackley,ParticleSwarm,1.0675236046904732e-15,-7.103699894136607e-16,3.552713678800501e-15,0.0,3.552713678800501e-15,1.2822761669901325e-15,10440,0.12444430000141438,6416
Sphere,SimulatedAnnealing,0.01035019270698384,-0.008618158951961274,0.00018139915279297175,0.0,0.00018139915279297175,0.013468450274362368,901,0.029060900000331458,14432
Sphere,ParticleSwarm,3.2104197040657714e-13,2.4572494706201432e-12,0.0,0.0,0.0,2.478132947931872e-12,10440,0.16741100000035658,6416
Rosenbrock,SimulatedAnnealing,1.032327685309227,1.0668841434549985,0.0011851922911056182,0.0,0.0011851922911056182,0.07428706403648769,901,0.0242937000002712,14432
Rosenbrock,ParticleSwarm,0.999999955891041,1.0000000928936716,3.282086321174628e-12,0.0,3.282086321174628e-12,1.0283401431009187e-07,10440,0.11585699999886856,6416
Beale,SimulatedAnnealing,3.0347680260113035,0.5073933822146657,0.0002156600614457811,0.0,0.0002156600614457811,0.03554543196101025,901,0.02476060000117286,14432
Beale,ParticleSwarm,-4.5,1.1864290566290974,0.762069650892314,0.0,0.762069650892314,7.531346815131057,10440,0.12243540000054054,6416
GoldsteinPrice,SimulatedAnnealing,-0.0015963891629816665,-1.0027747597684586,3.003019887238484,3.0,0.0030198872384841202,0.0032012107291370215,901,0.02607510000052571,14432
GoldsteinPrice,ParticleSwarm,-3.3318017660466274e-09,-1.0000000002121763,2.9999999999999125,3.0,8.748557434046234e-14,3.3385508503782516e-09,10440,0.13666940000075556,6416
Booth,SimulatedAnnealing,0.9161886836972375,3.0806657081157485,0.013570872609681595,0.0,0.013570872609681595,0.11632408695629995,901,0.024203499999202904,14432
Booth,ParticleSwarm,0.9999999999985641,2.999999999997225,0.0,0.0,0.0,3.124567831831713e-12,10440,0.11688709999907587,6416
Bukin6,SimulatedAnnealing,-5.0,0.249842312779028,1.3057357244739363,0.0,1.3057357244739363,5.055960497837845,901,0.023424900000463822,14432
