group,function,method,iterations,elapsed_time_sec,value_calls,gradient_calls,hessian_calls,memory_scalars,final_value,distance_to_optimum,final_value_eps,final_point_eps
smooth,Quadratic-6D-good,Gradient descent,10,0.00658349999866914,11,10,0,12,1.925927068041974e-10,1.8551259972182668e-09,0.05139363008532192,0.1833828055804963
smooth,Quadratic-6D-good,Nelder-Mead,250,0.9257173999976658,2097,0,0,42,1.9838425040828545,1.9174868612457072,0.6213863680258519,0.14504229437764507
smooth,Quadratic-6D-good,Newton,1,0.000751499999751104,2,1,1,48,0.0,0.0,0.0,0.0001
smooth,Quadratic-6D-good,Simulated Annealing,1500,0.5827810999981011,1501,0,0,12,0.07842200989287558,0.40689513533968713,7.366625756554965e-05,0.0001000000015210943
smooth,Quadratic-6D-good,Particle Swarm,120,1.430360300000757,4840,0,0,726,0.0,0.0015359789795280634,0.0,0.00010000000121806117
smooth,Quadratic-4D-bad,Gradient descent,300,0.13143910000144388,301,300,0,8,0.0009601029621574435,0.042946634875138834,2.903856878108942e+232,2.4099198651029633e+115
smooth,Quadratic-4D-bad,Nelder-Mead,250,0.49062079999930575,1654,0,0,20,26.980740733617765,6.24131740173332,59.36359085621316,0.7862634145139246
smooth,Quadratic-4D-bad,Newton,1,0.0005484999965119641,2,1,1,24,0.0,0.0,0.0,0.0001
smooth,Quadratic-4D-bad,Simulated Annealing,1500,0.40934030000062194,1501,0,0,8,0.0056636108345060115,0.011551109425448266,0.0001197496419224946,0.00010000000175105388
smooth,Quadratic-4D-bad,Particle Swarm,120,0.9848979000016698,4840,0,0,484,5e-07,0.00039068928567861125,5e-07,0.00010000000103399994
smooth,Rosenbrock-3D,Gradient descent,229,0.1266923000002862,230,229,0,6,9.934964461732924e+27,15122.015160925926,1.2295979194021318e+31,18714477.601160977
smooth,Rosenbrock-3D,Nelder-Mead,250,0.3949414999988221,1425,0,0,12,3.7979339811292925,1.945296457873537,15.227786756512275,0.09741811460175911
smooth,Rosenbrock-3D,Newton,80,0.09098489999814774,356,80,80,15,0.9111998364026864,0.29690983381313524,21.026396393900207,0.14794954932792695
smooth,Rosenbrock-3D,Simulated Annealing,1500,0.38136930000109714,1501,0,0,6,0.042343541148890794,0.14960784555794,0.0015434747533392991,9.999999983277244e-05
smooth,Rosenbrock-3D,Particle Swarm,120,1.022704300001351,4840,0,0,363,0.0558649967557898,0.4422284234741448,0.00019596365487590771,9.999999923678991e-05
multimodal,Rastrigin-2D,Nelder-Mead,250,0.257002400001511,1202,0,0,6,0.006412583472279189,0.0,0.006477563474683449,0.0057
multimodal,Rastrigin-2D,Simulated Annealing,1500,0.34699019999970915,1501,0,0,4,0.38182402380492264,0.04395975318489151,0.00234934839588066,0.00010000000228418856
multimodal,Rastrigin-2D,Particle Swarm,80,0.44801300000108313,2430,0,0,182,0.0,5.50137542061071e-05,0.0,0.00010000000007254317
multimodal,Ackley-2D,Nelder-Mead,250,0.374963199999911,1216,0,0,6,0.3493825640380164,0.06559164016868191,0.3410240824907413,0.03945534669919788
multimodal,Ackley-2D,Simulated Annealing,1500,0.4840460000013991,1501,0,0,4,0.2978644344165079,0.06587833981696027,0.0006351104892024095,0.00010000000108515945
multimodal,Ackley-2D,Particle Swarm,80,0.6363120000023628,2430,0,0,182,0.0,0.0001199945108537412,0.0,0.00010000000050728825
multimodal,Himmelblau-2D,Nelder-Mead,250,0.20405659999960335,1210,0,0,6,0.06938126312850883,0.019255131767877777,6.895235633914982,0.304958203131086
multimodal,Himmelblau-2D,Simulated Annealing,1500,0.24429500000042026,1501,0,0,4,0.03212796856177441,3.9385305862637687,0.00022469235265195456,0.00010000000150168043
multimodal,Himmelblau-2D,Particle Swarm,80,0.2764896000007866,2430,0,0,182,0.0,4.101589944565023e-05,0.0,0.00010000000140819228
multimodal,Eggholder-2D,Nelder-Mead,250,0.2535163999964425,1226,0,0,6,-66.27228295456355,636.0362212800062,3.0012638177259388,0.6863625
multimodal,Eggholder-2D,Simulated Annealing,1500,0.29944430000250577,1501,0,0,4,-556.7273467200903,920.6343268695512,0.0007027870189544066,9.999999979638352e-05
multimodal,Eggholder-2D,Particle Swarm,120,0.9364952000032645,6050,0,0,302,-959.6406628913763,4.557022964490898e-05,0.0007229250367242157,0.00010000000136286486
discontinuous,Badie-2D,Nelder-Mead,250,0.29743450000023586,1215,0,0,6,3.8928210025259835,2.9390371642980293,1.8584896252990604,0.038765625
discontinuous,Badie-2D,Simulated Annealing,1500,0.34880929999781074,1501,0,0,4,0.7853862427517919,3.294292133509004,0.0017772077400476794,0.00010000000214883422
discontinuous,Badie-2D,Particle Swarm,80,0.5055944999985513,2430,0,0,182,0.042645657184120084,3.957781542209556,0.00024223492430068964,0.00010000000013787282
